year,region,country,type_of_crude,volume,total_value,cif_price,prop_of_total_imports
2018,Africa,Nigeria,Medium (<33o),107542,7964522,74.06,0.0268
2018,Africa,Nigeria,Light (33-45o),190532,14198397,74.52,0.0475
2018,Africa,Nigeria,Condensate (>45o),7009,504983,72.05,0.0017000000000000001
2018,Africa,Other African Countries,Other Africa Crude,47972,3490405,72.76,0.012
2018,Africa,Tunisia,Tunisia Crude,4377,309843,70.78,0.0011
2018,America,Brazil,Brazil Crude,36226,2377925,65.64,0.009000000000000001
2018,America,Canada,Canadian Heavy (<33° API),12376,839228,67.81,0.0031
2018,America,Canada,Light Sweet (>30o API),23067,1664040,72.14,0.005699999999999999
2018,America,Colombia,Other Colombia Crude,5026,331576,65.98,0.0013
2018,America,Mexico,Isthmus,2034,137527,67.6,5e-4
2018,America,Mexico,Maya,75977,4595882,60.49,0.0189
2018,America,Other Latin America countries,Other Latin America Crude,724,46161,63.73,2e-4
2018,America,United States,Alaska,6278,447334,71.25,0.0016
2018,America,United States,Other US Crude,160456,11443686,71.32,0.04
2018,America,Venezuela,Medium (22-30o),905,40192,44.41,2e-4
2018,America,Venezuela,Heavy (17-22o),1340,87938,65.65,3e-4
2018,America,Venezuela,Extra Heavy (<17o),10674,643132,60.25,0.0027
2018,Europe,Denmark,Denmark Crude,17056,1243947,72.93,0.0042
2018,Europe,Norway,Statfjord,35877,2569275,71.61,0.0089
2018,Europe,Norway,Ekofisk,62015,4480162,72.24,0.0154
2018,Europe,Norway,Other Norway Crude,242431,17349495,71.56,0.0604
2018,Europe,Norway,Oseberg,25332,1849315,73,0.0063
2018,Europe,Norway,Gullfaks,49328,3636027,73.71,0.0123
2018,Europe,Other European countries,Other Europe Crude,11796,777549,65.92,0.0029
2018,Europe,United Kingdom,Flotta,16066,1181392,73.53,0.004
2018,Europe,United Kingdom,Forties,18552,1299818,70.06,0.0046
2018,Europe,United Kingdom,Brent Blend,24021,1718119,71.52,0.006
2018,Europe,United Kingdom,Other UK Crude,121333,8616200,71.01,0.0302
2018,FSU,Azerbaijan,Azerbaijan Crude,161364,11812008,73.2,0.04019999999999999
2018,FSU,Kazakhstan,Kazakhstan Crude,278408,19663213,70.63,0.0694
2018,FSU,Other FSU countries,Other FSU Crude,2095,151283,72.2,5e-4
2018,FSU,Russian Federation,Other Russian Fed. Crude,451336,31722611,70.29,0.1124
2018,FSU,Russian Federation,Urals,588094,40712012,69.23,0.1465
2018,Middle East,Abu Dhabi,Murban,920,69073,75.09,2e-4
2018,Middle East,Iran,Other Iran Crude,14445,1000575,69.27,0.0036
2018,Middle East,Iran,Iranian Heavy,82651,5431562,65.72,0.0206
2018,Middle East,Iran,Iranian Light,38190,2586552,67.73,0.0095
2018,Middle East,Iraq,Basrah Light,155061,10437967,67.32,0.038599999999999995
2018,Middle East,Iraq,Kirkuk,38834,2593744,66.79,0.0097
2018,Middle East,Iraq,Other Iraq Crude,113042,7518466,66.51,0.0282
2018,Middle East,Kuwait,Kuwait Blend,36021,2441712,67.79,0.009000000000000001
2018,Middle East,Other Middle East Countries,Other Middle East Crude,2,105,52.5,0
2018,Middle East,Saudi Arabia,Arab Light,217981,15519873,71.2,0.054299999999999994
2018,Middle East,Saudi Arabia,Arab Medium,1747,106576,61.02,4e-4
2018,Middle East,Saudi Arabia,Other Saudi Arabia Crude,19251,1379516,71.66,0.0048
2018,Middle East,Saudi Arabia,Arab Heavy,22974,1592173,69.3,0.005699999999999999
2018,Middle East,Saudi Arabia,Berri (Extra Light),27127,1917810,70.7,0.0068000000000000005
2018,Middle East,Syria,Syria Light,1046,59033,56.44,3e-4
2019,Africa,Algeria,Saharan Blend,124283,8084705,65.05,0.030899999999999997
2019,Africa,Algeria,Other Algeria Crude,11833,793529,67.06,0.0029
2019,Africa,Angola,Cabinda,6679,443286,66.37,0.0017000000000000001
2019,Africa,Angola,Other Angola Crude,45559,3040681,66.74,0.0113
2019,Africa,Cameroon,Cameroon Crude,12601,825637,65.52,0.0031
2019,Africa,Congo,Congo Crude,2775,163375,58.87,7.000000000000001e-4
2019,Africa,Congo (DR),Congo (DR) Crude,1852,114306,61.72,5e-4
2019,Africa,Egypt,Medium/Light (30-40o),34521,2228398,64.55,0.0086
2019,Africa,Gabon,Rabi/Rabi Kounga,621,40011,64.43,2e-4
2019,Africa,Gabon,Other Gabon Crude,5252,334399,63.67,0.0013
2019,Africa,Libya,Medium (30-40o),154982,10172604,65.64,0.038599999999999995
2019,Africa,Libya,Heavy (<30o API),13017,828981,63.69,0.0032
2019,Africa,Libya,Light (>40o),78861,5099037,64.66,0.0196
2019,Africa,Nigeria,Medium (<33o),125516,8470187,67.48,0.031200000000000002
2019,Africa,Nigeria,Light (33-45o),176646,11991761,67.89,0.044000000000000004
2019,Africa,Nigeria,Condensate (>45o),7010,452336,64.52,0.0017000000000000001
2019,Africa,Other African Countries,Other Africa Crude,36414,2381774,65.41,0.0091
2019,Africa,Tunisia,Tunisia Crude,3939,253107,64.26,0.001
2019,America,Argentina,Argentina Crude,935,57866,61.91,2e-4
2019,America,Brazil,Brazil Crude,32650,1964776,60.18,0.008100000000000001
2019,America,Canada,Canadian Heavy (<33° API),15574,989755,63.55,0.0039000000000000003
2019,America,Canada,Light Sweet (>30o API),15691,1011389,64.46,0.0039000000000000003
2019,America,Colombia,Other Colombia Crude,8808,535201,60.76,0.0022
2019,America,Mexico,Maya,69460,3836795,55.24,0.0173
2019,America,Other Latin America countries,Other Latin America Crude,773,46339,59.93,2e-4
2019,America,United States,Alaska,1240,79069,63.77,3e-4
2019,America,United States,Other US Crude,282570,18275143,64.67,0.0703
2019,America,Venezuela,Medium (22-30o),1913,98206,51.34,5e-4
2019,America,Venezuela,Heavy (17-22o),3613,184296,51.02,9e-4
2019,America,Venezuela,Extra Heavy (<17o),28398,1459957,51.41,0.0070999999999999995
2019,Europe,Denmark,Denmark Crude,12587,829741,65.92,0.0031
2019,Europe,Norway,Statfjord,21416,1395401,65.16,0.0053
2019,Europe,Norway,Ekofisk,62915,4105393,65.25,0.015700000000000002
2019,Europe,Norway,Other Norway Crude,235938,15444432,65.46,0.0587
2019,Europe,Norway,Oseberg,31852,2118696,66.52,0.0079
2019,Europe,Norway,Gullfaks,44038,2890402,65.63,0.011000000000000001
2019,Europe,Other European countries,Other Europe Crude,8711,508225,58.34,0.0022
2019,Europe,United Kingdom,Flotta,18374,1179207,64.18,0.0046
2019,Europe,United Kingdom,Forties,16186,1050339,64.89,0.004
2019,Europe,United Kingdom,Brent Blend,26946,1769238,65.66,0.0067
2019,Europe,United Kingdom,Other UK Crude,126615,8330772,65.8,0.0315
2019,FSU,Azerbaijan,Azerbaijan Crude,163506,11104764,67.92,0.0407
