year,region,country,type_of_crude,volume,total_value,cif_price,prop_of_total_imports
2006,Australia,Australia,Gippsland,600,43373,72.33,1e-4
2006,Australia,Australia,Other Australia Crude,728,45329,62.24,2e-4
2006,Australia,Papua New Guinea,Papua New Guinea Crude,4097,263195,64.23,9e-4
2006,FSU,Azerbaijan,Azerbaijan Crude,75655,4974009,65.75,0.0169
2006,FSU,Azerbaijan,Azeri Light,14056,923383,65.69,0.0031
2006,FSU,Kazakhstan,Kazakhstan Crude,200511,13107103,65.37,0.0447
2006,FSU,Other FSU countries,Other FSU Crude,56402,3486062,61.81,0.0126
2006,FSU,Russian Federation,Other Russian Fed. Crude,578183,35080224,60.67,0.12890000000000001
2006,FSU,Russian Federation,Urals,703747,42965772,61.05,0.15689999999999998
2006,FSU,Ukraine,Ukraine Crude,860,55239,64.21,2e-4
2006,Europe,Denmark,Denmark Crude,88085,5735972,65.12,0.0196
2006,Europe,Norway,Statfjord,97061,6443771,66.39,0.0216
2006,Europe,Norway,Ekofisk,181622,11911372,65.58,0.0405
2006,Europe,Norway,Other Norway Crude,238587,15543808,65.15,0.053200000000000004
2006,Europe,Norway,Oseberg,78562,5197593,66.16,0.0175
2006,Europe,Norway,Gullfaks,80887,5434802,67.19,0.018000000000000002
2006,Europe,Other European countries,Other Europe Crude,16759,1036955,61.87,0.0037
2006,Europe,United Kingdom,Flotta,5608,360411,64.27,0.0013
2006,Europe,United Kingdom,Forties,87158,5767151,66.17,0.0194
2006,Europe,United Kingdom,Brent Blend,29894,1912405,63.97,0.0067
2006,Europe,United Kingdom,Other UK Crude,123501,7664429,62.06,0.0275
2006,America,Brazil,Brazil,20284,1099026,54.18,0.0045000000000000005
2006,America,Canada,Light Sweet (>30o API),1024,61120,59.71,2e-4
2006,America,Colombia,Other Colombia Crude,1050,59466,56.63,2e-4
2006,America,Ecuador,Other Ecuador Crude,1239,66812,53.93,3e-4
2006,America,Mexico,Olmeca,5264,354361,67.31,0.0012
2006,America,Mexico,Isthmus,2297,134466,58.54,5e-4
2006,America,Mexico,Maya,58223,3099807,53.24,0.013000000000000001
2006,America,Other Latin America countries,Other Latin America Crude,271,9537,35.18,1e-4
2006,America,United States,Other US Crude,7075,477749,67.53,0.0016
2006,America,Venezuela,Medium (22-30o),19141,1070077,55.91,0.0043
2006,America,Venezuela,Heavy (17-22o),2964,143326,48.36,7.000000000000001e-4
2006,America,Venezuela,Light (>30o),23555,1449576,61.54,0.0053
2006,America,Venezuela,Extra Heavy (<17o),18472,662771,35.88,0.0040999999999999995
2006,Other,Other Countries,Other crudes,8353,552432,66.13,0.0019
2007,Middle East,Abu Dhabi,Other Abu Dhabi Crude,2280,195883,85.93,5e-4
2007,Middle East,Abu Dhabi,Lower Zakum,2132,132938,62.35,5e-4
2007,Middle East,Abu Dhabi,Murban,5983,406367,67.92,0.0014000000000000002
2007,Middle East,Abu Dhabi,Upper Zakum,500,44755,89.51,1e-4
2007,Middle East,Dubai,Dubai,494,37906,76.77,1e-4
2007,Middle East,Iran,Other Iran Crude,41448,2681209,64.69,0.009399999999999999
2007,Middle East,Iran,Iranian Heavy,128897,8709939,67.57,0.029300000000000003
2007,Middle East,Iran,Iranian Light,67968,4597612,67.64,0.0154
2007,Middle East,Iraq,Basrah Light,103144,7046796,68.32,0.023399999999999997
2007,Middle East,Iraq,Kirkuk,31052,2511217,80.87,0.0070999999999999995
2007,Middle East,Iraq,Other Iraq Crude,8684,548090,63.11,0.002
2007,Middle East,Kuwait,Kuwait Blend,46327,3094837,66.8,0.0105
2007,Middle East,Neutral Zone,Onshore,473,44628,94.35,1e-4
2007,Middle East,Oman,Oman,631,56170,89.02,1e-4
2007,Middle East,Other Middle East Countries,Other Middle East Crude,2084,173925,83.46,5e-4
