month_year,region,country,type_of_crude,volume,total_value,cif_price,prop_of_total_imports
2009-03-01,Europe,Other European countries,Other Europe Crude,9754,445889,45.71,0.0273
2009-03-01,Europe,United Kingdom,Flotta,613,28124,45.88,0.0017000000000000001
2009-03-01,Europe,United Kingdom,Forties,6467,302431,46.77,0.0181
2009-03-01,Europe,United Kingdom,Brent Blend,1786,84056,47.06,0.005
2009-03-01,Europe,United Kingdom,Other UK Crude,11418,539062,47.21,0.032
2009-03-01,America,Brazil,Brazil Crude,1279,55122,43.1,0.0036
2009-03-01,America,Colombia,Other Colombia Crude,513,21668,42.23,0.0014000000000000002
2009-03-01,America,Mexico,Maya,1675,81713,48.78,0.004699999999999999
2009-03-01,America,Venezuela,Medium (22-30o),1144,48905,42.75,0.0032
2009-03-01,America,Venezuela,Light (>30o),574,23924,41.65,0.0016
2009-03-01,America,Venezuela,Extra Heavy (<17o),1839,61994,33.71,0.0052
2009-04-01,Middle East,Iran,Other Iran Crude,2720,124196,45.66,0.0084
2009-04-01,Middle East,Iran,Iranian Heavy,8267,408246,49.38,0.0255
2009-04-01,Middle East,Iran,Iranian Light,3277,159169,48.57,0.0101
2009-04-01,Middle East,Iraq,Basrah Light,2237,107032,47.84,0.0069
2009-04-01,Middle East,Iraq,Kirkuk,8143,408233,50.13,0.025099999999999997
2009-04-01,Middle East,Iraq,Other Iraq Crude,940,47498,50.53,0.0029
2009-04-01,Middle East,Kuwait,Kuwait Blend,1573,69844,44.4,0.0048
2009-04-01,Middle East,Saudi Arabia,Arab Light,16122,829079,51.43,0.049699999999999994
2009-04-01,Middle East,Saudi Arabia,Arab Medium,586,25185,43,0.0018
2009-04-01,Middle East,Saudi Arabia,Other Saudi Arabia Crude,118,5232,44.34,4e-4
2009-04-01,Middle East,Saudi Arabia,Arab Heavy,1280,58149,45.45,0.0039000000000000003
2009-04-01,Middle East,Saudi Arabia,Berri (Extra Light),444,22613,50.93,0.0014000000000000002
2009-04-01,Middle East,Syria,Souedie,4958,229769,46.34,0.015300000000000001
2009-04-01,Middle East,Syria,Syria Light,1220,63132,51.76,0.0038
2009-04-01,Africa,Algeria,Saharan Blend,3815,197592,51.79,0.0118
2009-04-01,Africa,Algeria,Other Algeria Crude,4302,221508,51.48,0.013300000000000001
2009-04-01,Africa,Angola,Other Angola Crude,5098,259187,50.84,0.015700000000000002
2009-04-01,Africa,Cameroon,Cameroon Crude,1059,50772,47.93,0.0033
2009-04-01,Africa,Congo,Congo Crude,1806,94666,52.42,0.005600000000000001
2009-04-01,Africa,Egypt,Medium/Light (30-40o),2780,137069,49.31,0.0086
2009-04-01,Africa,Gabon,Other Gabon Crude,145,5294,36.51,4e-4
2009-04-01,Africa,Libya,Medium (30-40o),12257,617560,50.39,0.0378
2009-04-01,Africa,Libya,Heavy (<30o API),2482,116685,47.02,0.0077
2009-04-01,Africa,Libya,Light (>40o),13312,691720,51.96,0.040999999999999995
2009-04-01,Africa,Nigeria,Medium (<33o),2967,158666,53.47,0.0091
2009-04-01,Africa,Nigeria,Light (33-45o),9127,486032,53.25,0.0281
2009-04-01,Africa,Nigeria,Condensate (>45o),278,16141,58.06,9e-4
2009-04-01,Africa,Other African Countries,Other Africa Crude,3765,198657,52.77,0.0116
2009-04-01,Africa,Tunisia,Tunisia Crude,160,8132,50.83,5e-4
2009-04-01,Australia,Papua New Guinea,Papua New Guinea Crude,451,21707,48.13,0.0014000000000000002
2009-04-01,FSU,Azerbaijan,Azerbaijan Crude,10485,538530,51.36,0.0323
2009-04-01,FSU,Kazakhstan,Kazakhstan Crude,21801,1098125,50.37,0.0672
2009-04-01,FSU,Other FSU countries,Other FSU Crude,9377,453858,48.4,0.028900000000000002
2009-04-01,FSU,Russian Federation,Other Russian Fed. Crude,38592,1887176,48.9,0.11900000000000001
2009-04-01,FSU,Russian Federation,Urals,53916,2636288,48.9,0.16620000000000001
2009-04-01,Europe,Denmark,Denmark Crude,3229,166651,51.61,0.01
2009-04-01,Europe,Norway,Statfjord,3792,193610,51.06,0.011699999999999999
2009-04-01,Europe,Norway,Ekofisk,8481,435352,51.33,0.026099999999999998
2009-04-01,Europe,Norway,Other Norway Crude,20545,1046450,50.94,0.0633
2009-04-01,Europe,Norway,Oseberg,4446,226470,50.93,0.0137
2009-04-01,Europe,Norway,Gullfaks,3656,187937,51.41,0.0113
2009-04-01,Europe,Other European countries,Other Europe Crude,9017,449856,49.89,0.0278
2009-04-01,Europe,United Kingdom,Flotta,682,34078,49.97,0.0021
2009-04-01,Europe,United Kingdom,Forties,1566,89660,57.25,0.0048
2009-04-01,Europe,United Kingdom,Other UK Crude,8524,434997,51.03,0.0263
2009-04-01,America,Brazil,Brazil Crude,3061,143068,46.73,0.009399999999999999
2009-04-01,America,Mexico,Maya,2288,125165,54.69,0.0070999999999999995
2009-04-01,America,Venezuela,Medium (22-30o),1274,61674,48.41,0.0039000000000000003
2009-04-01,America,Venezuela,Heavy (17-22o),403,18735,46.49,0.0012
2009-04-01,America,Venezuela,Light (>30o),1068,50756,47.55,0.0033
2009-04-01,America,Venezuela,Extra Heavy (<17o),2446,109620,44.82,0.0075
2009-05-01,Middle East,Iran,Other Iran Crude,3594,172322,47.95,0.0103
2009-05-01,Middle East,Iran,Iranian Heavy,9241,512160,55.43,0.0265
2009-05-01,Middle East,Iran,Iranian Light,4445,253285,56.98,0.0127
2009-05-01,Middle East,Iraq,Basrah Light,2476,138764,56.05,0.0070999999999999995
2009-05-01,Middle East,Iraq,Kirkuk,10005,550649,55.04,0.0287
2009-05-01,Middle East,Iraq,Other Iraq Crude,619,34786,56.24,0.0018
2009-05-01,Middle East,Kuwait,Kuwait Blend,1702,88911,52.24,0.0049
2009-05-01,Middle East,Saudi Arabia,Arab Light,17189,1066964,62.07,0.0492
2009-05-01,Middle East,Saudi Arabia,Arab Medium,582,28557,49.11,0.0017000000000000001
2009-05-01,Middle East,Saudi Arabia,Arab Heavy,321,17032,53.06,9e-4
2009-05-01,Middle East,Saudi Arabia,Berri (Extra Light),1089,67711,62.16,0.0031
2009-05-01,Middle East,Syria,Souedie,3713,188774,50.84,0.0106
2009-05-01,Africa,Algeria,Saharan Blend,9493,550220,57.96,0.027200000000000002
2009-05-01,Africa,Algeria,Other Algeria Crude,1850,112115,60.6,0.0053
2009-05-01,Africa,Angola,Cabinda,667,42363,63.49,0.0019
2009-05-01,Africa,Angola,Other Angola Crude,7482,395084,52.81,0.021400000000000002
2009-05-01,Africa,Cameroon,Cameroon Crude,884,48442,54.78,0.0025
2009-05-01,Africa,Congo,Congo Crude,651,35685,54.79,0.0019
2009-05-01,Africa,Egypt,Heavy (<30o API),607,21954,36.15,0.0017000000000000001
2009-05-01,Africa,Egypt,Medium/Light (30-40o),1667,93312,55.97,0.0048
2009-05-01,Africa,Gabon,Other Gabon Crude,742,34263,46.19,0.0021
2009-05-01,Africa,Libya,Medium (30-40o),16919,954824,56.43,0.048499999999999995
2009-05-01,Africa,Libya,Heavy (<30o API),1937,95255,49.18,0.0055000000000000005
2009-05-01,Africa,Libya,Light (>40o),9324,547420,58.71,0.026699999999999998
2009-05-01,Africa,Nigeria,Medium (<33o),3306,193041,58.39,0.0095
2009-05-01,Africa,Nigeria,Light (33-45o),14038,798718,56.9,0.04019999999999999
2009-05-01,Africa,Nigeria,Condensate (>45o),1944,115007,59.16,0.005600000000000001
2009-05-01,Africa,Other African Countries,Other Africa Crude,4592,266937,58.13,0.0132
2009-05-01,Africa,Tunisia,Tunisia Crude,1079,61217,56.73,0.0031
2009-05-01,Australia,Papua New Guinea,Papua New Guinea Crude,452,24331,53.83,0.0013
2009-05-01,FSU,Azerbaijan,Azerbaijan Crude,10491,595166,56.73,0.03
2009-05-01,FSU,Kazakhstan,Kazakhstan Crude,19891,1141417,57.38,0.057
2009-05-01,FSU,Other FSU countries,Other FSU Crude,9049,513010,56.69,0.0259
2009-05-01,FSU,Russian Federation,Other Russian Fed. Crude,44225,2494675,56.41,0.1267
2009-05-01,FSU,Russian Federation,Urals,54572,3079448,56.43,0.1563
2009-05-01,FSU,Ukraine,Ukraine Crude,11,688,60.15,0
2009-05-01,Europe,Denmark,Denmark Crude,5343,301737,56.48,0.015300000000000001
2009-05-01,Europe,Norway,Statfjord,4032,238691,59.19,0.0115
2009-05-01,Europe,Norway,Ekofisk,8633,503571,58.33,0.024700000000000003
2009-05-01,Europe,Norway,Other Norway Crude,21382,1241921,58.08,0.061200000000000004
2009-05-01,Europe,Norway,Oseberg,3985,236925,59.45,0.011399999999999999
2009-05-01,Europe,Norway,Gullfaks,4837,283600,58.63,0.0139
2009-05-01,Europe,Other European countries,Other Europe Crude,7148,400981,56.1,0.020499999999999997
2009-05-01,Europe,United Kingdom,Forties,1739,100513,57.8,0.005
2009-05-01,Europe,United Kingdom,Brent Blend,1629,95968,58.93,0.004699999999999999
2009-05-01,Europe,United Kingdom,Other UK Crude,8056,465925,57.84,0.0231
2009-05-01,America,Brazil,Brazil Crude,912,48807,53.49,0.0026
2009-05-01,America,Mexico,Maya,2587,165360,63.93,0.0074
2009-05-01,America,Venezuela,Medium (22-30o),2076,115330,55.55,0.0059
2009-05-01,America,Venezuela,Heavy (17-22o),435,22829,52.48,0.0012
2009-05-01,America,Venezuela,Light (>30o),3994,206333,51.66,0.011399999999999999
2009-05-01,America,Venezuela,Extra Heavy (<17o),1510,74697,49.46,0.0043
2009-06-01,Middle East,Iran,Other Iran Crude,1805,111051,61.52,0.0054
2009-06-01,Middle East,Iran,Iranian Heavy,9883,612604,61.98,0.0294
2009-06-01,Middle East,Iran,Iranian Light,4045,261348,64.6,0.0121
2009-06-01,Middle East,Iraq,Basrah Light,3359,219735,65.42,0.01
2009-06-01,Middle East,Iraq,Kirkuk,9406,619183,65.83,0.027999999999999997
2009-06-01,Middle East,Iraq,Other Iraq Crude,1313,90308,68.78,0.0039000000000000003
2009-06-01,Middle East,Kuwait,Kuwait Blend,1632,97370,59.66,0.0049
2009-06-01,Middle East,Saudi Arabia,Arab Light,12364,781431,63.2,0.0368
2009-06-01,Middle East,Saudi Arabia,Arab Medium,596,32663,54.8,0.0018
2009-06-01,Middle East,Saudi Arabia,Arab Heavy,1287,78859,61.29,0.0038
2009-06-01,Middle East,Saudi Arabia,Berri (Extra Light),2761,174452,63.18,0.008199999999999999
2009-06-01,Middle East,Syria,Souedie,5714,367901,64.38,0.017
2009-06-01,Middle East,Syria,Syria Light,609,41191,67.64,0.0018
2009-06-01,Africa,Algeria,Saharan Blend,6786,464862,68.51,0.0202
2009-06-01,Africa,Algeria,Other Algeria Crude,1503,102385,68.12,0.0045000000000000005
2009-06-01,Africa,Angola,Other Angola Crude,7111,474273,66.69,0.0212
2009-06-01,Africa,Cameroon,Cameroon Crude,1299,81835,63,0.0039000000000000003
2009-06-01,Africa,Congo,Congo Crude,3332,208882,62.69,0.009899999999999999
2009-06-01,Africa,Egypt,Heavy (<30o API),696,33979,48.82,0.0021
2009-06-01,Africa,Egypt,Medium/Light (30-40o),1483,97682,65.87,0.0044
2009-06-01,Africa,Gabon,Other Gabon Crude,460,30450,66.2,0.0014000000000000002
2009-06-01,Africa,Libya,Medium (30-40o),16919,1104892,65.31,0.0504
2009-06-01,Africa,Libya,Heavy (<30o API),1138,76626,67.33,0.0034000000000000002
2009-06-01,Africa,Libya,Light (>40o),10724,737144,68.74,0.032
2009-06-01,Africa,Nigeria,Medium (<33o),4662,309025,66.28,0.0139
2009-06-01,Africa,Nigeria,Light (33-45o),10860,727935,67.03,0.032400000000000005
2009-06-01,Africa,Nigeria,Condensate (>45o),3,215,71.67,0
2009-06-01,Africa,Other African Countries,Other Africa Crude,6317,418952,66.32,0.018799999999999997
2009-06-01,Africa,Tunisia,Tunisia Crude,792,49313,62.24,0.0024
2009-06-01,FSU,Azerbaijan,Azerbaijan Crude,9334,624325,66.89,0.0278
2009-06-01,FSU,Kazakhstan,Kazakhstan Crude,17706,1181853,66.75,0.0528
2009-06-01,FSU,Other FSU countries,Other FSU Crude,8593,579453,67.44,0.0256
2009-06-01,FSU,Russian Federation,Other Russian Fed. Crude,42993,2838907,66.03,0.1281
2009-06-01,FSU,Russian Federation,Urals,48513,3247679,66.94,0.1445
2009-06-01,FSU,Ukraine,Ukraine Crude,3,188,61.04,0
2009-06-01,Europe,Denmark,Denmark Crude,5701,393717,69.06,0.017
2009-06-01,Europe,Norway,Statfjord,6427,432718,67.33,0.0191
2009-06-01,Europe,Norway,Ekofisk,10184,697984,68.54,0.030299999999999997
2009-06-01,Europe,Norway,Other Norway Crude,16277,1120315,68.83,0.048499999999999995
2009-06-01,Europe,Norway,Oseberg,2639,179833,68.15,0.0079
2009-06-01,Europe,Norway,Gullfaks,2121,149772,70.62,0.0063
2009-06-01,Europe,Other European countries,Other Europe Crude,8290,552140,66.6,0.024700000000000003
2009-06-01,Europe,United Kingdom,Forties,4852,336105,69.28,0.014499999999999999
2009-06-01,Europe,United Kingdom,Brent Blend,3114,212413,68.2,0.009300000000000001
2009-06-01,Europe,United Kingdom,Other UK Crude,8061,543765,67.46,0.024
2009-06-01,America,Brazil,Brazil Crude,2850,187278,65.7,0.0085
2009-06-01,America,Mexico,Maya,3640,222501,61.13,0.0108
2009-06-01,America,Other Latin America countries,Other Latin America Crude,888,61423,69.17,0.0026
2009-06-01,America,Venezuela,Medium (22-30o),378,23118,61.16,0.0011
2009-06-01,America,Venezuela,Heavy (17-22o),444,28642,64.51,0.0013
2009-06-01,America,Venezuela,Light (>30o),2771,168604,60.85,0.0083
2009-06-01,America,Venezuela,Extra Heavy (<17o),988,58426,59.14,0.0029
2009-07-01,Middle East,Iran,Other Iran Crude,3810,233805,61.37,0.0106
2009-07-01,Middle East,Iran,Iranian Heavy,11601,758835,65.41,0.0322
2009-07-01,Middle East,Iran,Iranian Light,586,38182,65.2,0.0016
2009-07-01,Middle East,Iraq,Basrah Light,4603,305781,66.43,0.0128
2009-07-01,Middle East,Iraq,Kirkuk,12125,780829,64.4,0.0336
2009-07-01,Middle East,Iraq,Other Iraq Crude,1625,105688,65.04,0.0045000000000000005
2009-07-01,Middle East,Kuwait,Kuwait Blend,3260,191165,58.64,0.009000000000000001
2009-07-01,Middle East,Saudi Arabia,Arab Light,18136,1237919,68.26,0.050300000000000004
2009-07-01,Middle East,Saudi Arabia,Arab Medium,581,37204,64.03,0.0016
2009-07-01,Middle East,Saudi Arabia,Arab Heavy,86,5164,60.22,2e-4
2009-07-01,Middle East,Saudi Arabia,Berri (Extra Light),1196,78582,65.69,0.0033
2009-07-01,Middle East,Syria,Souedie,2878,178077,61.88,0.008
2009-07-01,Middle East,Syria,Syria Light,1274,86111,67.59,0.0034999999999999996
2009-07-01,Africa,Algeria,Saharan Blend,2435,159546,65.53,0.0067
2009-07-01,Africa,Algeria,Other Algeria Crude,2823,183168,64.89,0.0078000000000000005
2009-07-01,Africa,Angola,Other Angola Crude,10530,661442,62.82,0.0292
2009-07-01,Africa,Cameroon,Cameroon Crude,797,51299,64.33,0.0022
2009-07-01,Africa,Congo,Congo Crude,1812,111430,61.5,0.005
2009-07-01,Africa,Egypt,Heavy (<30o API),2067,116879,56.54,0.005699999999999999
2009-07-01,Africa,Egypt,Medium/Light (30-40o),500,32797,65.59,0.0014000000000000002
2009-07-01,Africa,Gabon,Other Gabon Crude,514,32949,64.1,0.0014000000000000002
2009-07-01,Africa,Libya,Medium (30-40o),15471,985156,63.68,0.0429
2009-07-01,Africa,Libya,Heavy (<30o API),1628,110734,68.02,0.0045000000000000005
2009-07-01,Africa,Libya,Light (>40o),12245,820337,66.99,0.0339
2009-07-01,Africa,Nigeria,Medium (<33o),2932,194042,66.18,0.008100000000000001
2009-07-01,Africa,Nigeria,Light (33-45o),12162,826911,67.99,0.0337
2009-07-01,Africa,Nigeria,Condensate (>45o),495,35365,71.45,0.0014000000000000002
2009-07-01,Africa,Other African Countries,Other Africa Crude,3810,255440,67.04,0.0106
2009-07-01,Africa,Tunisia,Tunisia Crude,1363,91513,67.14,0.0038
2009-07-01,FSU,Azerbaijan,Azerbaijan Crude,13574,914577,67.38,0.037599999999999995
2009-07-01,FSU,Kazakhstan,Kazakhstan Crude,18892,1247265,66.02,0.0524
2009-07-01,FSU,Other FSU countries,Other FSU Crude,8826,567602,64.31,0.0245
2009-07-01,FSU,Russian Federation,Other Russian Fed. Crude,41894,2693377,64.29,0.1161
2009-07-01,FSU,Russian Federation,Urals,52544,3479572,66.22,0.1456
2009-07-01,Europe,Denmark,Denmark Crude,5198,343908,66.17,0.0144
2009-07-01,Europe,Norway,Statfjord,4386,286834,65.4,0.012199999999999999
2009-07-01,Europe,Norway,Ekofisk,11050,724027,65.52,0.030600000000000002
2009-07-01,Europe,Norway,Other Norway Crude,24600,1621576,65.92,0.0682
2009-07-01,Europe,Norway,Oseberg,2340,155288,66.36,0.006500000000000001
2009-07-01,Europe,Norway,Gullfaks,6320,418600,66.24,0.0175
2009-07-01,Europe,Other European countries,Other Europe Crude,11358,733810,64.61,0.0315
2009-07-01,Europe,United Kingdom,Forties,6442,424921,65.96,0.0179
2009-07-01,Europe,United Kingdom,Brent Blend,2011,135399,67.33,0.005600000000000001
2009-07-01,Europe,United Kingdom,Other UK Crude,6850,442458,64.6,0.019
2009-07-01,America,Brazil,Brazil Crude,1538,99091,64.42,0.0043
2009-07-01,America,Mexico,Olmeca,780,51082,65.49,0.0022
2009-07-01,America,Mexico,Isthmus,1000,64351,64.37,0.0028000000000000004
2009-07-01,America,Mexico,Maya,2950,196891,66.75,0.008199999999999999
2009-07-01,America,Other Latin America countries,Other Latin America Crude,439,29268,66.67,0.0012
2009-07-01,America,Venezuela,Medium (22-30o),1325,84427,63.74,0.0037
2009-07-01,America,Venezuela,Heavy (17-22o),390,24644,63.19,0.0011
2009-07-01,America,Venezuela,Light (>30o),1415,68633,48.49,0.0039000000000000003
2009-07-01,America,Venezuela,Extra Heavy (<17o),1358,82219,60.54,0.0038
2009-08-01,Middle East,Iran,Other Iran Crude,4861,334744,68.87,0.0144
2009-08-01,Middle East,Iran,Iranian Heavy,8887,612166,68.88,0.0264
2009-08-01,Middle East,Iran,Iranian Light,5341,379120,70.99,0.0158
2009-08-01,Middle East,Iraq,Basrah Light,8627,606681,70.33,0.0256
2009-08-01,Middle East,Iraq,Kirkuk,6365,442275,69.49,0.0189
2009-08-01,Middle East,Iraq,Other Iraq Crude,645,47162,73.12,0.0019
2009-08-01,Middle East,Kuwait,Kuwait Blend,1651,106697,64.63,0.0049
2009-08-01,Middle East,Saudi Arabia,Arab Light,11288,797159,70.62,0.0335
2009-08-01,Middle East,Saudi Arabia,Arab Heavy,291,19301,66.3,9e-4
2009-08-01,Middle East,Saudi Arabia,Berri (Extra Light),1077,78833,73.2,0.0032
2009-08-01,Middle East,Syria,Souedie,3319,233184,70.26,0.0098
2009-08-01,Middle East,Syria,Syria Light,625,31841,50.97,0.0019
2009-08-01,Africa,Algeria,Saharan Blend,3198,235582,73.67,0.0095
2009-08-01,Africa,Algeria,Other Algeria Crude,2448,179914,73.49,0.0073
2009-08-01,Africa,Angola,Cabinda,942,62762,66.63,0.0028000000000000004
2009-08-01,Africa,Angola,Other Angola Crude,5583,413528,74.07,0.0166
2009-08-01,Africa,Cameroon,Cameroon Crude,1926,137576,71.44,0.005699999999999999
2009-08-01,Africa,Congo,Congo Crude,948,67628,71.34,0.0028000000000000004
2009-08-01,Africa,Egypt,Heavy (<30o API),73,4455,61.03,2e-4
2009-08-01,Africa,Egypt,Medium/Light (30-40o),1429,101958,71.35,0.0042
2009-08-01,Africa,Gabon,Other Gabon Crude,895,60200,67.26,0.0027
2009-08-01,Africa,Libya,Medium (30-40o),17008,1228983,72.26,0.0504
2009-08-01,Africa,Libya,Heavy (<30o API),1087,78489,72.21,0.0032
2009-08-01,Africa,Libya,Light (>40o),11187,820608,73.36,0.0332
2009-08-01,Africa,Nigeria,Medium (<33o),2111,150190,71.15,0.0063
2009-08-01,Africa,Nigeria,Light (33-45o),9215,673995,73.14,0.0273
2009-08-01,Africa,Nigeria,Condensate (>45o),1523,108734,71.38,0.0045000000000000005
2009-08-01,Africa,Other African Countries,Other Africa Crude,2695,197287,73.21,0.008
2009-08-01,Africa,Tunisia,Tunisia Crude,623,44692,71.74,0.0018
2009-08-01,FSU,Azerbaijan,Azerbaijan Crude,13557,984789,72.64,0.04019999999999999
2009-08-01,FSU,Kazakhstan,Kazakhstan Crude,20065,1439527,71.74,0.059500000000000004
2009-08-01,FSU,Other FSU countries,Other FSU Crude,9958,710592,71.36,0.029500000000000002
2009-08-01,FSU,Russian Federation,Other Russian Fed. Crude,43259,3134852,72.47,0.1283
2009-08-01,FSU,Russian Federation,Urals,48256,3453363,71.56,0.1431
2009-08-01,Europe,Denmark,Denmark Crude,4758,356555,74.94,0.0141
2009-08-01,Europe,Norway,Statfjord,4315,318447,73.8,0.0128
2009-08-01,Europe,Norway,Ekofisk,10600,780857,73.67,0.031400000000000004
2009-08-01,Europe,Norway,Other Norway Crude,22765,1659179,72.88,0.0675
2009-08-01,Europe,Norway,Oseberg,4389,324489,73.93,0.013000000000000001
2009-08-01,Europe,Norway,Gullfaks,6517,469932,72.11,0.019299999999999998
2009-08-01,Europe,Other European countries,Other Europe Crude,9206,654940,71.14,0.0273
2009-08-01,Europe,United Kingdom,Flotta,258,18726,72.58,8e-4
2009-08-01,Europe,United Kingdom,Forties,5890,433249,73.56,0.0175
2009-08-01,Europe,United Kingdom,Brent Blend,1055,78806,74.7,0.0031
2009-08-01,Europe,United Kingdom,Other UK Crude,7589,557949,73.52,0.0225
2009-08-01,America,Brazil,Brazil Crude,1510,97002,64.24,0.0045000000000000005
2009-08-01,America,Mexico,Isthmus,998,70375,70.53,0.003
2009-08-01,America,Mexico,Maya,2383,156866,65.81,0.0070999999999999995
2009-08-01,America,Other Latin America countries,Other Latin America Crude,1172,81899,69.88,0.0034999999999999996
2009-08-01,America,Venezuela,Medium (22-30o),460,32643,70.96,0.0014000000000000002
2009-08-01,America,Venezuela,Heavy (17-22o),848,60428,71.26,0.0025
2009-08-01,America,Venezuela,Extra Heavy (<17o),1504,96215,63.96,0.0045000000000000005
2009-09-01,Middle East,Iran,Other Iran Crude,2026,139469,68.85,0.0062
2009-09-01,Middle East,Iran,Iranian Heavy,10491,734916,70.06,0.0322
2009-09-01,Middle East,Iran,Iranian Light,2978,205712,69.09,0.0091
2009-09-01,Middle East,Iraq,Basrah Light,1635,112608,68.87,0.005
2009-09-01,Middle East,Iraq,Kirkuk,8639,583824,67.58,0.0265
2009-09-01,Middle East,Kuwait,Kuwait Blend,3310,219212,66.23,0.0102
2009-09-01,Middle East,Saudi Arabia,Arab Light,16181,1112616,68.76,0.049699999999999994
2009-09-01,Middle East,Saudi Arabia,Arab Medium,561,37475,66.8,0.0017000000000000001
2009-09-01,Middle East,Saudi Arabia,Arab Heavy,518,36867,71.19,0.0016
2009-09-01,Middle East,Saudi Arabia,Berri (Extra Light),1045,90950,87.08,0.0032
2009-09-01,Middle East,Syria,Souedie,3133,206764,65.99,0.0096
2009-09-01,Africa,Algeria,Saharan Blend,2760,184303,66.78,0.0085
2009-09-01,Africa,Algeria,Other Algeria Crude,1361,92537,67.98,0.0042
2009-09-01,Africa,Angola,Other Angola Crude,3939,286198,72.66,0.0121
2009-09-01,Africa,Cameroon,Cameroon Crude,1323,89358,67.52,0.0040999999999999995
2009-09-01,Africa,Congo,Congo Crude,920,66035,71.78,0.0028000000000000004
2009-09-01,Africa,Egypt,Heavy (<30o API),1537,94278,61.34,0.004699999999999999
2009-09-01,Africa,Egypt,Medium/Light (30-40o),1667,112948,67.75,0.0051
2009-09-01,Africa,Gabon,Rabi/Rabi Kounga,950,70571,74.29,0.0029
2009-09-01,Africa,Libya,Medium (30-40o),14604,1013134,69.37,0.044800000000000006
2009-09-01,Africa,Libya,Heavy (<30o API),1115,76156,68.3,0.0034000000000000002
2009-09-01,Africa,Libya,Light (>40o),11059,756505,68.4,0.0339
2009-09-01,Africa,Nigeria,Medium (<33o),6170,437681,70.94,0.0189
2009-09-01,Africa,Nigeria,Light (33-45o),4487,318006,70.87,0.0138
2009-09-01,Africa,Nigeria,Condensate (>45o),971,66815,68.81,0.003
2009-09-01,Africa,Other African Countries,Other Africa Crude,5493,381891,69.53,0.0169
2009-09-01,Africa,Tunisia,Tunisia Crude,219,15062,68.78,7.000000000000001e-4
2009-09-01,Australia,Australia,Other Australia Crude,299,23316,77.98,9e-4
2009-09-01,FSU,Azerbaijan,Azerbaijan Crude,12864,904414,70.31,0.0395
2009-09-01,FSU,Kazakhstan,Kazakhstan Crude,17206,1173473,68.2,0.0528
2009-09-01,FSU,Other FSU countries,Other FSU Crude,9389,626590,66.74,0.0288
2009-09-01,FSU,Russian Federation,Other Russian Fed. Crude,40559,2732634,67.37,0.1245
2009-09-01,FSU,Russian Federation,Urals,52593,3533810,67.19,0.16140000000000002
2009-09-01,Europe,Denmark,Denmark Crude,5533,381449,68.94,0.017
2009-09-01,Europe,Norway,Statfjord,3371,232647,69.02,0.0103
2009-09-01,Europe,Norway,Ekofisk,8389,576895,68.77,0.025699999999999997
2009-09-01,Europe,Norway,Other Norway Crude,21815,1517593,69.57,0.067
2009-09-01,Europe,Norway,Oseberg,4429,307255,69.37,0.013600000000000001
2009-09-01,Europe,Norway,Gullfaks,2631,181932,69.16,0.008100000000000001
2009-09-01,Europe,Other European countries,Other Europe Crude,9798,659225,67.28,0.0301
2009-09-01,Europe,United Kingdom,Flotta,938,63315,67.5,0.0029
2009-09-01,Europe,United Kingdom,Forties,6924,473961,68.45,0.0212
2009-09-01,Europe,United Kingdom,Brent Blend,1106,76395,69.07,0.0034000000000000002
2009-09-01,Europe,United Kingdom,Other UK Crude,8237,563862,68.46,0.0253
2009-09-01,America,Brazil,Brazil Crude,3846,257771,67.01,0.0118
2009-09-01,America,Colombia,Other Colombia Crude,412,25511,61.95,0.0013
2009-09-01,America,Mexico,Maya,2927,195079,66.65,0.009000000000000001
2009-09-01,America,Other Latin America countries,Other Latin America Crude,1167,84619,72.51,0.0036
2009-09-01,America,Venezuela,Medium (22-30o),1087,71827,66.08,0.0033
2009-09-01,America,Venezuela,Heavy (17-22o),402,26440,65.77,0.0012
2009-09-01,America,Venezuela,Extra Heavy (<17o),828,50712,61.25,0.0025
2009-10-01,Middle East,Iran,Other Iran Crude,4718,347857,73.73,0.0144
2009-10-01,Middle East,Iran,Iranian Heavy,7847,565662,72.08,0.0239
2009-10-01,Middle East,Iran,Iranian Light,278,19015,68.44,8e-4
2009-10-01,Middle East,Iraq,Basrah Light,2006,145615,72.58,0.0060999999999999995
2009-10-01,Middle East,Iraq,Kirkuk,10562,763696,72.31,0.0322
2009-10-01,Middle East,Kuwait,Kuwait Blend,1562,107142,68.59,0.0048
2009-10-01,Middle East,Saudi Arabia,Arab Light,15538,1153562,74.24,0.047400000000000005
2009-10-01,Middle East,Saudi Arabia,Arab Medium,580,41772,72.02,0.0018
2009-10-01,Middle East,Saudi Arabia,Arab Heavy,75,5341,71.56,2e-4
2009-10-01,Middle East,Saudi Arabia,Berri (Extra Light),1431,105642,73.82,0.0044
2009-10-01,Middle East,Syria,Souedie,3911,277703,71.01,0.011899999999999999
2009-10-01,Middle East,Syria,Syria Light,626,41851,66.86,0.0019
2009-10-01,Africa,Algeria,Saharan Blend,619,46143,74.56,0.0019
2009-10-01,Africa,Algeria,Other Algeria Crude,456,31672,69.46,0.0014000000000000002
2009-10-01,Africa,Angola,Other Angola Crude,7465,526605,70.54,0.022799999999999997
2009-10-01,Africa,Cameroon,Cameroon Crude,893,59418,66.55,0.0027
2009-10-01,Africa,Congo,Congo Crude,1094,73690,67.36,0.0033
